,0 - 500m3,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000,7500,8000,8500,9000,9500,10000,10500,11000,11500,12000,12500,13000,13500,14000,14500,15000,15500,16000,16500,17000,17500,18000,18500,19000,19500,20000,20500
8000,2.00,2.00,4.00,7.00,7.00,11.00,21.00,48.00,36.00,66.00,80.00,109.00,126.00,133.00,164.00,166.00,171.00,138.00,73.00,47.00,31.00,41.00,25.00,17.00,6.00,9.00,5.00,6.00,5.00,1.00,3.00,4.00,2.00,1.00,4.00,3.00,1.00,1.00,0.00,0.00,3.00
8500,1.00,3.00,5.00,8.00,8.00,19.00,19.00,20.00,31.00,32.00,54.00,61.00,75.00,103.00,123.00,131.00,162.00,149.00,105.00,79.00,44.00,29.00,21.00,23.00,26.00,5.00,9.00,7.00,5.00,3.00,3.00,1.00,1.00,2.00,2.00,1.00,0.00,0.00,0.00,1.00,1.00
9000,4.00,1.00,1.00,5.00,6.00,9.00,7.00,10.00,16.00,22.00,41.00,50.00,62.00,73.00,72.00,129.00,132.00,132.00,146.00,92.00,72.00,49.00,45.00,34.00,15.00,12.00,13.00,6.00,8.00,5.00,2.00,3.00,2.00,1.00,3.00,1.00,1.00,0.00,0.00,1.00,1.00
9500,1.00,3.00,1.00,2.00,3.00,8.00,9.00,10.00,18.00,17.00,24.00,30.00,35.00,56.00,74.00,70.00,94.00,132.00,142.00,107.00,111.00,66.00,62.00,35.00,30.00,21.00,10.00,15.00,6.00,8.00,5.00,3.00,5.00,4.00,1.00,1.00,2.00,0.00,0.00,0.00,1.00
10000,1.00,2.00,2.00,2.00,4.00,5.00,4.00,5.00,9.00,8.00,23.00,25.00,36.00,38.00,31.00,63.00,63.00,105.00,117.00,111.00,113.00,72.00,85.00,50.00,30.00,30.00,19.00,9.00,13.00,13.00,12.00,8.00,0.00,4.00,1.00,3.00,1.00,1.00,3.00,0.00,3.00
10500,1.00,1.00,0.00,3.00,2.00,4.00,7.00,5.00,6.00,9.00,17.00,21.00,28.00,34.00,42.00,44.00,67.00,64.00,103.00,107.00,101.00,110.00,106.00,71.00,43.00,41.00,18.00,21.00,12.00,5.00,5.00,1.00,6.00,5.00,7.00,4.00,3.00,0.00,0.00,0.00,2.00
11000,2.00,1.00,1.00,0.00,4.00,3.00,2.00,3.00,4.00,10.00,9.00,15.00,15.00,24.00,17.00,39.00,43.00,56.00,57.00,78.00,93.00,116.00,101.00,89.00,61.00,43.00,38.00,26.00,11.00,13.00,6.00,10.00,7.00,4.00,4.00,2.00,2.00,0.00,1.00,0.00,3.00
11500,2.00,1.00,2.00,5.00,0.00,1.00,1.00,3.00,4.00,7.00,8.00,14.00,25.00,13.00,25.00,28.00,37.00,40.00,52.00,57.00,80.00,96.00,84.00,103.00,72.00,57.00,42.00,33.00,26.00,18.00,21.00,6.00,13.00,9.00,7.00,4.00,2.00,3.00,2.00,1.00,4.00
12000,1.00,2.00,2.00,1.00,3.00,4.00,1.00,4.00,5.00,10.00,8.00,9.00,14.00,16.00,14.00,20.00,27.00,37.00,36.00,43.00,60.00,66.00,80.00,76.00,61.00,84.00,68.00,54.00,39.00,24.00,21.00,16.00,13.00,11.00,5.00,5.00,3.00,4.00,1.00,1.00,6.00
12500,0.00,0.00,0.00,2.00,2.00,3.00,0.00,4.00,6.00,3.00,2.00,8.00,6.00,11.00,7.00,15.00,17.00,19.00,28.00,40.00,39.00,62.00,55.00,85.00,71.00,86.00,66.00,68.00,49.00,37.00,31.00,21.00,15.00,12.00,6.00,6.00,4.00,3.00,3.00,4.00,4.00
13000,0.00,0.00,0.00,0.00,0.00,5.00,1.00,3.00,1.00,5.00,3.00,3.00,12.00,8.00,15.00,13.00,23.00,11.00,23.00,35.00,34.00,43.00,51.00,54.00,58.00,75.00,98.00,82.00,63.00,61.00,36.00,26.00,24.00,16.00,10.00,12.00,8.00,7.00,6.00,5.00,7.00
13500,2.00,0.00,1.00,0.00,2.00,3.00,0.00,0.00,2.00,4.00,3.00,4.00,6.00,4.00,11.00,5.00,10.00,9.00,14.00,19.00,31.00,27.00,26.00,38.00,55.00,52.00,77.00,68.00,75.00,58.00,51.00,39.00,23.00,29.00,18.00,8.00,10.00,7.00,6.00,6.00,7.00
