362235.00,14345.00,3552.00,1230.00,537.00,325.00,211.00,134.00,110.00,59.00,59.00,68.00,36.00,33.00,33.00,27.00,17.00,6.00,15.00,12.00,14.00,13.00,3.00,4.00,6.00,5.00,5.00,4.00,3.00,3.00,4.00,0.00,3.00,2.00,0.00,2.00,1.00,1.00,0.00,0.00,0.00
4930.00,5101.00,2887.00,963.00,277.00,101.00,45.00,32.00,13.00,21.00,5.00,12.00,1.00,5.00,1.00,2.00,0.00,2.00,3.00,3.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1459.00,2920.00,4671.00,2576.00,851.00,300.00,104.00,46.00,30.00,16.00,16.00,14.00,6.00,6.00,3.00,8.00,2.00,3.00,2.00,1.00,1.00,2.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
484.00,1012.00,2730.00,3335.00,1738.00,663.00,286.00,112.00,47.00,36.00,16.00,19.00,7.00,12.00,4.00,7.00,2.00,3.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
201.00,384.00,1079.00,2162.00,2182.00,1227.00,535.00,215.00,111.00,71.00,24.00,15.00,11.00,8.00,6.00,8.00,7.00,0.00,2.00,3.00,2.00,2.00,1.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
106.00,181.00,408.00,970.00,1518.00,1505.00,857.00,463.00,232.00,112.00,59.00,26.00,16.00,14.00,8.00,5.00,12.00,2.00,1.00,1.00,1.00,2.00,2.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
48.00,81.00,198.00,431.00,749.00,1044.00,1082.00,632.00,353.00,170.00,89.00,57.00,39.00,16.00,13.00,11.00,8.00,5.00,1.00,2.00,0.00,2.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26.00,55.00,108.00,199.00,402.00,575.00,761.00,752.00,514.00,291.00,141.00,85.00,51.00,31.00,23.00,24.00,13.00,7.00,6.00,4.00,0.00,1.00,2.00,3.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
17.00,21.00,53.00,93.00,208.00,297.00,490.00,638.00,573.00,413.00,233.00,135.00,84.00,45.00,31.00,24.00,4.00,12.00,7.00,4.00,4.00,3.00,3.00,2.00,2.00,2.00,1.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13.00,11.00,26.00,71.00,102.00,142.00,282.00,349.00,497.00,452.00,391.00,225.00,128.00,78.00,48.00,32.00,17.00,11.00,10.00,3.00,3.00,3.00,3.00,1.00,0.00,2.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.00,11.00,17.00,37.00,63.00,86.00,152.00,215.00,298.00,402.00,397.00,293.00,206.00,115.00,67.00,44.00,29.00,15.00,12.00,16.00,6.00,7.00,3.00,1.00,0.00,1.00,1.00,2.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.00,4.00,19.00,12.00,31.00,50.00,90.00,141.00,195.00,294.00,349.00,314.00,269.00,212.00,116.00,69.00,38.00,35.00,24.00,8.00,6.00,1.00,7.00,2.00,4.00,5.00,2.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
6.00,4.00,12.00,10.00,21.00,32.00,40.00,75.00,127.00,167.00,203.00,275.00,285.00,219.00,161.00,111.00,56.00,37.00,19.00,11.00,10.00,4.00,6.00,6.00,3.00,2.00,2.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,3.00,4.00,6.00,15.00,25.00,31.00,47.00,76.00,113.00,148.00,171.00,215.00,229.00,168.00,144.00,86.00,66.00,31.00,29.00,15.00,12.00,10.00,11.00,6.00,3.00,5.00,1.00,2.00,1.00,1.00,2.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2.00,4.00,5.00,4.00,8.00,14.00,17.00,26.00,44.00,55.00,85.00,116.00,158.00,197.00,254.00,190.00,130.00,74.00,59.00,43.00,27.00,17.00,10.00,7.00,2.00,3.00,9.00,1.00,4.00,1.00,2.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,3.00,7.00,3.00,8.00,3.00,11.00,13.00,34.00,36.00,63.00,85.00,118.00,136.00,175.00,199.00,178.00,103.00,63.00,48.00,26.00,22.00,23.00,18.00,9.00,7.00,2.00,8.00,1.00,3.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
